Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Zeynel,1969,expert,https://www.kaggle.com/zeynel7,0,4,2,51,4 years ago,"Louth, County Louth, Ireland",,,6,250,778.0,1986.0,Notebooks Expert
Felipe Mello,1970,expert,https://www.kaggle.com/felipemello,3,2,1,51,4 years ago,"Philadelphia, Pennsylvania, United States",7.0,,7,179,62.0,1987.0,Competitions Expert
Mohamed Ahmed,1971,expert,https://www.kaggle.com/mohamedahmedae,0,0,5,51,3 years ago,"Cairo, Cairo Governorate, Egypt",4.0,,35,13,1892.0,2016.0,Notebooks Expert
Susant_Achary🎲,1972,expert,https://www.kaggle.com/susant4learning,0,1,7,51,3 years ago,"Bengaluru, Karnataka, India",10.0,5.0,12,364,1243.0,1244.0,Datasets Expert
dasmehdixtr,1973,expert,https://www.kaggle.com/dasmehdixtr,0,0,11,51,3 years ago,"İstanbul, Istanbul, Turkey",4.0,16.0,50,279,845.0,2017.0,Datasets Expert
krishan gopal,1974,expert,https://www.kaggle.com/krishna1997gopal,0,3,4,51,3 years ago,"Bengaluru, Karnataka, India",3.0,1.0,8,112,758.0,2018.0,Notebooks Expert
MXK,1975,expert,https://www.kaggle.com/mouafekmk,2,0,4,51,3 years ago,"Tunis, Tunis, Tunisia",3.0,,10,123,472.0,2020.0,Notebooks Expert
SenTran,1976,expert,https://www.kaggle.com/sentrankim,0,2,4,51,3 years ago,"Ho Chi Minh City, Ho Chi Minh City, Vietnam",7.0,2.0,11,41,1202.0,2022.0,Notebooks Expert
Mustafa Cicek,1977,expert,https://www.kaggle.com/mustafacicek,0,0,13,51,3 years ago,,2.0,3.0,37,35,983.0,1992.0,Notebooks Expert
Paddy,1978,expert,https://www.kaggle.com/paddytheprogrammer,0,1,6,51,3 years ago,"Bengaluru, Karnataka, India",,2.0,9,31,1366.0,2025.0,Notebooks Expert
Seunghun Chae,1979,expert,https://www.kaggle.com/firstkits,0,0,6,51,3 years ago,"Seoul, Seoul, South Korea",,,9,10,1967.0,1994.0,Notebooks Expert
Ferit Ebrar Gürler,1980,expert,https://www.kaggle.com/feritebrargrler,0,1,11,51,2 years ago,"İstanbul, İstanbul, Turkey",,,13,195,675.0,1997.0,Notebooks Expert
Demid Chernenko,1981,expert,https://www.kaggle.com/demche,1,3,2,51,2 years ago,"Kyiv, Ukraine",4.0,1.0,6,35,467.0,2026.0,Competitions Expert
Artem Pozdniakov,1982,expert,https://www.kaggle.com/artempozdniakov,1,2,2,51,2 years ago,"Kyiv, Ukraine",2.0,1.0,5,240,410.0,1998.0,Notebooks Expert
Aklima Akter Rimi,1983,expert,https://www.kaggle.com/aklimarimi,0,0,6,51,2 years ago,"Dhaka, Dhaka Division, Bangladesh",6.0,,17,17,1948.0,1999.0,Notebooks Expert
ayoub chaoui,1984,expert,https://www.kaggle.com/ayoubchaoui,0,1,6,51,2 years ago,,2.0,5.0,10,154,1430.0,2001.0,Notebooks Expert
Hugo R. V. Angulo,1985,expert,https://www.kaggle.com/hugovallejo,0,1,7,51,2 years ago,"São Paulo, State of São Paulo, Brazil",2.0,4.0,9,52,1155.0,2003.0,Datasets Expert
Dina Nabil,1986,expert,https://www.kaggle.com/dinanabil811,0,0,5,51,a year ago,,,,7,9,1911.0,1912.0,Notebooks Expert
Naser Al-qaydeh,1987,expert,https://www.kaggle.com/naseralqaydeh,0,0,8,51,a year ago,"Amman, Amman Governorate, Jordan",,1.0,21,268,1169.0,2004.0,Notebooks Expert
Akshat Jain,1988,expert,https://www.kaggle.com/akshatjainds,0,0,8,51,a year ago,"Bengaluru, Karnataka, India",,,8,41,1410.0,2005.0,Notebooks Expert
