Name,Rank,Level,Link,Gold,Silver,Bronze,Points,Joined,Country,Total Competitions,Total Datasets,Total Codes,Total Discussions,Highest Rank,Current Rank,Current Level
Akshit Rai,3723,expert,https://www.kaggle.com/akshit293,0,0,6,15,3 years ago,"Prayagraj, Uttar Pradesh, India",2.0,,7.0,18,568.0,3740.0,Notebooks Expert
garyong,3724,expert,https://www.kaggle.com/garyongguanjie,0,0,5,15,3 years ago,,8.0,3.0,38.0,107,2716.0,3741.0,Notebooks Expert
G_R_S,3725,expert,https://www.kaggle.com/danoozy44,0,0,7,15,3 years ago,"Chennai, Tamil Nadu, India",9.0,9.0,17.0,314,496.0,3742.0,Datasets Expert
Tamil Selvan,3726,expert,https://www.kaggle.com/tamilsel,0,1,4,15,3 years ago,"Chennai, Tamil Nadu, India",5.0,2.0,6.0,7,871.0,3806.0,Notebooks Expert
Süfyan Taşkın,3727,expert,https://www.kaggle.com/sufyant,0,0,5,15,3 years ago,"Limerick, County Limerick, Ireland",3.0,2.0,14.0,114,726.0,3743.0,Notebooks Expert
Shashank Vats,3728,expert,https://www.kaggle.com/shakka,0,0,5,15,3 years ago,"Bengaluru, Karnataka, India",,,6.0,43,2115.0,3744.0,Notebooks Expert
Tushar Mishra,3729,expert,https://www.kaggle.com/tmchls,0,0,5,15,3 years ago,"Lucknow, Uttar Pradesh, India",,2.0,16.0,105,1599.0,3745.0,Notebooks Expert
Nikhil Kumawat,3730,expert,https://www.kaggle.com/nickelkumawat,0,0,6,15,3 years ago,"Jaipur, Rajasthan, India",1.0,,7.0,14,1519.0,3746.0,Notebooks Expert
Ashwin V,3731,expert,https://www.kaggle.com/datadecipherer,0,1,4,15,3 years ago,"Thiruvananthapuram, Kerala, India",,,5.0,33,787.0,3747.0,Notebooks Expert
Soumya Srivastava,3732,expert,https://www.kaggle.com/soumyasrivastava11,0,0,8,15,3 years ago,"Bengaluru, Karnataka, India",,,8.0,17,1949.0,3749.0,Notebooks Expert
Nishkarsh Tripathi,3733,expert,https://www.kaggle.com/nishkarshtripathi,0,1,4,15,3 years ago,"New Delhi, Delhi, India",1.0,,5.0,58,667.0,3750.0,Notebooks Expert
Kundan Jha,3734,expert,https://www.kaggle.com/kundnjha,0,0,5,15,2 years ago,"Pune, Maharashtra, India",,,5.0,72,1826.0,3751.0,Notebooks Expert
Shivam Mittal,3735,expert,https://www.kaggle.com/shivammittal274,0,1,4,15,2 years ago,"Delhi, Delhi, India",34.0,6.0,5.0,24,1210.0,3752.0,Competitions Expert
Yamac Eren Ay,3736,expert,https://www.kaggle.com/yamaerenay,0,0,7,15,2 years ago,"Berlin, Berlin, Germany",,10.0,12.0,56,1086.0,3753.0,Datasets Expert
Michal Wilkosz,3737,expert,https://www.kaggle.com/michawilkosz,0,0,6,15,2 years ago,"Zory, Silesian Voivodeship, Poland",,,6.0,23,1342.0,3754.0,Notebooks Expert
shubhankit sirvaiya,3738,expert,https://www.kaggle.com/shubhankitsirvaiya06,0,0,5,15,2 years ago,"Jaipur, Rajasthan, India",,1.0,22.0,45,1107.0,3755.0,Notebooks Expert
Hakan Erdogan,3739,expert,https://www.kaggle.com/hakanerdogan,0,0,5,15,2 years ago,"İstanbul, İstanbul, Turkey",14.0,,8.0,4,2236.0,3756.0,Notebooks Expert
Sahil Maheshwari,3740,expert,https://www.kaggle.com/sahilmaheshwari,0,0,7,15,2 years ago,"Jaipur, Rajasthan, India",4.0,3.0,12.0,228,876.0,3757.0,Notebooks Expert
Gihun Lee,3741,expert,https://www.kaggle.com/gigunlee,0,0,6,15,2 years ago,"Seoul, Seoul, South Korea",,1.0,19.0,97,1349.0,3818.0,Notebooks Expert
FoucardM,3742,expert,https://www.kaggle.com/foucardm,0,0,5,15,2 years ago,"Fresnes, Île-de-France, France",,,10.0,110,1179.0,3758.0,Notebooks Expert
Işıl Güler,3743,expert,https://www.kaggle.com/isilguler,0,1,4,15,2 years ago,"Ankara, Ankara, Turkey",,5.0,5.0,33,1200.0,3759.0,Datasets Expert
LCL__production,3744,expert,https://www.kaggle.com/lclproduction,0,0,5,15,a year ago,,,,5.0,7,1884.0,3760.0,Notebooks Expert
Robert David Burbidge PhD,3745,expert,https://www.kaggle.com/robertburbidge,0,1,7,14,9 years ago,"London, England, United Kingdom",7.0,5.0,13.0,113,433.0,3761.0,Competitions Expert
Krishna Yogi,3746,expert,https://www.kaggle.com/krishnayogi,0,0,5,14,9 years ago,"Bengaluru, Karnataka, India",1.0,,5.0,1,1061.0,3762.0,Notebooks Expert
Patrick DeKelly,3747,expert,https://www.kaggle.com/valkling,1,1,4,14,8 years ago,"Chelmsford, Massachusetts, United States",57.0,7.0,19.0,23,2465.0,3764.0,Competitions Expert
EZ,3748,expert,https://www.kaggle.com/ezietsman,0,3,3,14,7 years ago,"Cape Town, Western Cape, South Africa",13.0,,7.0,29,177.0,3765.0,Notebooks Expert
Panchajanya Banerjee (Pancham),3749,expert,https://www.kaggle.com/delayedkarma,0,2,10,14,7 years ago,"Los Angeles, California, United States",15.0,3.0,30.0,194,116.0,3766.0,Notebooks Expert
outrunner,3750,expert,https://www.kaggle.com/outrunner,1,1,3,14,6 years ago,"Taipei, Taiwan",42.0,2.0,6.0,172,486.0,3767.0,Competitions Grandmaster
Hoang Nguyen,3751,expert,https://www.kaggle.com/hoangnguyen719,0,1,5,14,6 years ago,"San Francisco, California, United States",2.0,1.0,14.0,54,802.0,3844.0,Notebooks Expert
spongebob,3752,expert,https://www.kaggle.com/baomengjiao,0,2,10,14,6 years ago,"Beijing, Beijing, China",30.0,1.0,14.0,230,155.0,3768.0,Competitions Grandmaster
AnmolNarang,3753,expert,https://www.kaggle.com/anmol4210,0,0,5,14,5 years ago,"Gurugram, Haryana, India",2.0,3.0,10.0,94,1222.0,3769.0,Notebooks Expert
Sarthak Rana,3754,expert,https://www.kaggle.com/sarthak97,0,1,4,14,5 years ago,"Noida, Uttar Pradesh, India",4.0,1.0,6.0,41,1006.0,3770.0,Notebooks Expert
M.Zunair,3755,expert,https://www.kaggle.com/zunair101,0,0,8,14,5 years ago,"Tallinn, Harju County, Estonia",1.0,,10.0,71,733.0,3771.0,Notebooks Expert
Eric A. Scuccimarra,3756,expert,https://www.kaggle.com/skooch,1,2,4,14,5 years ago,"Lausanne, Vaud, Switzerland",11.0,3.0,25.0,56,334.0,3772.0,Competitions Expert
Anna Novikova,3757,expert,https://www.kaggle.com/demonplus,1,0,4,14,5 years ago,"Rostov-on-Don, Rostov Oblast, Russia",27.0,2.0,10.0,236,999.0,3773.0,Competitions Expert
Ilham Firdausi Putra,3758,expert,https://www.kaggle.com/ilhamfp31,0,1,5,14,5 years ago,"Bandung, West Java, Indonesia",21.0,11.0,87.0,130,269.0,3774.0,Competitions Expert
Will Canniford,3759,expert,https://www.kaggle.com/willcanniford,0,1,6,14,5 years ago,"London, England, United Kingdom",1.0,1.0,13.0,65,176.0,3775.0,Notebooks Expert
Akshay Chavan,3760,expert,https://www.kaggle.com/akshaychavan123,0,0,5,14,5 years ago,"Navi Mumbai, Maharashtra, India",1.0,,8.0,152,1178.0,3850.0,Notebooks Expert
Gleb Levitski,3761,expert,https://www.kaggle.com/altprof,0,0,6,14,5 years ago,"Batumi, Adjara, Georgia",17.0,1.0,6.0,30,1513.0,3778.0,Competitions Expert
Niwanshu Maheshwari,3762,expert,https://www.kaggle.com/niwanshu29,0,0,8,14,5 years ago,"Jaipur, Rajasthan, India",,1.0,9.0,15,670.0,3779.0,Notebooks Expert
André Neves,3763,expert,https://www.kaggle.com/amneves,0,1,9,14,5 years ago,"Lisbon, Lisbon, Portugal",4.0,,18.0,79,605.0,3781.0,Notebooks Expert
Tara Boyle,3764,expert,https://www.kaggle.com/tboyle10,0,1,4,14,4 years ago,"Pittsburgh, Pennsylvania, United States",5.0,2.0,20.0,2,2218.0,3782.0,Notebooks Expert
Nahum Sá,3765,expert,https://www.kaggle.com/nahumsa,0,0,5,14,4 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",3.0,,12.0,4,3187.0,3783.0,Notebooks Expert
Shikhar Sharma,3766,expert,https://www.kaggle.com/shikhar07,0,0,6,14,4 years ago,"Gurugram, Haryana, India",,3.0,12.0,59,1654.0,3784.0,Notebooks Expert
Deepak N,3767,expert,https://www.kaggle.com/deepak525,0,1,4,14,4 years ago,"Kota, Rajasthan, India",7.0,,15.0,31,781.0,3785.0,Notebooks Expert
Prayank,3768,expert,https://www.kaggle.com/prayankkul,0,0,6,14,4 years ago,"Gurugram, Haryana, India",3.0,2.0,5.0,28,654.0,3786.0,Notebooks Expert
Parth Sharma,3769,expert,https://www.kaggle.com/parthsharma5795,1,1,3,14,4 years ago,"London, Ontario, Canada",3.0,,7.0,58,314.0,3787.0,Notebooks Expert
SeungWon Kim,3770,expert,https://www.kaggle.com/possiblemanjr,0,0,7,14,4 years ago,"Seoul, Seoul, South Korea",13.0,,24.0,8,1016.0,3865.0,Competitions Expert
Alexander Antonov,3771,expert,https://www.kaggle.com/trolukovich,0,0,6,14,4 years ago,"Riga, Latvia",9.0,14.0,26.0,36,714.0,3789.0,Datasets Expert
naks,3772,expert,https://www.kaggle.com/universalastro,0,0,6,14,4 years ago,"Hyderabad, Telangana, India",,1.0,14.0,36,819.0,3791.0,Notebooks Expert
raj naruka,3773,expert,https://www.kaggle.com/rajnaruka0698,0,0,8,14,4 years ago,"Jaipur, Rajasthan, India",1.0,,13.0,75,490.0,3792.0,Notebooks Expert
Cihan Senol,3774,expert,https://www.kaggle.com/cihan063,0,0,6,14,4 years ago,"Kielce, Swietokrzyskie, Poland",,2.0,15.0,54,859.0,3793.0,Notebooks Expert
Victor Zaguskin,3775,expert,https://www.kaggle.com/vzaguskin,0,1,5,14,4 years ago,"Nizhny Novgorod, Nizhny Novgorod Oblast, Russia",15.0,8.0,9.0,80,593.0,3869.0,Competitions Master
Rodolfo Luna,3776,expert,https://www.kaggle.com/rodolfoluna,0,0,5,14,4 years ago,"Recife, State of Pernambuco, Brazil",,,7.0,11,553.0,3794.0,Notebooks Expert
xXShreyXx,3777,expert,https://www.kaggle.com/shrey821,0,0,5,14,3 years ago,"Ahmedabad, Gujarat, India",,,15.0,37,679.0,3795.0,Notebooks Expert
Nandan Pandey,3778,expert,https://www.kaggle.com/awadhi123,0,0,7,14,3 years ago,"Pratapgarh, Uttar Pradesh, India",7.0,8.0,19.0,93,743.0,3797.0,Datasets Expert
Yogesh Singla,3779,expert,https://www.kaggle.com/yogeshkumarsingla,0,1,4,14,3 years ago,"Pune, Maharashtra, India",1.0,11.0,5.0,75,710.0,3798.0,Datasets Expert
shubhamshukla,3780,expert,https://www.kaggle.com/shubham9455999082,0,0,8,14,3 years ago,"Kanpur, Uttar Pradesh, India",16.0,2.0,15.0,36,753.0,3799.0,Notebooks Expert
SuryaJR_Rafl,3781,expert,https://www.kaggle.com/suryajrrafl,0,0,5,14,3 years ago,"Chennai, Tamil Nadu, India",4.0,5.0,15.0,119,1938.0,3800.0,Notebooks Expert
yasagure,3782,expert,https://www.kaggle.com/yasagure,0,2,5,14,3 years ago,"Tokyo, Tokyo, Japan",25.0,1.0,11.0,38,178.0,3801.0,Competitions Expert
Matheus de Albuquerque,3783,expert,https://www.kaggle.com/matheusdalbuquerque,0,1,6,14,3 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",,3.0,11.0,5,747.0,3803.0,Notebooks Expert
KD007,3784,expert,https://www.kaggle.com/krishcross,0,1,4,14,3 years ago,"Lucknow, Uttar Pradesh, India",,2.0,5.0,34,565.0,3804.0,Notebooks Expert
Erik,3785,expert,https://www.kaggle.com/erikcabeza,0,0,5,14,3 years ago,"Seville, Andalusia, Spain",1.0,,10.0,86,2630.0,3805.0,Notebooks Expert
MOHIT KUMAR,3786,expert,https://www.kaggle.com/mohitkr05,0,1,4,14,3 years ago,"Gurugram, Haryana, India",,4.0,9.0,83,696.0,3807.0,Notebooks Expert
Ashutosh619-sudo,3787,expert,https://www.kaggle.com/ashutosh619sudo,0,0,6,14,3 years ago,"Renukoot, Uttar Pradesh, India",4.0,,10.0,32,858.0,3808.0,Notebooks Expert
Rohit Sahoo,3788,expert,https://www.kaggle.com/rohitsahoo,0,0,6,14,3 years ago,"Mumbai, Maharashtra, India",1.0,4.0,6.0,87,867.0,3809.0,Datasets Expert
Senol Comert,3789,expert,https://www.kaggle.com/senolcomert,0,0,5,14,3 years ago,"Yalıkavak, Mugla, Turkey",,1.0,8.0,36,1440.0,3810.0,Notebooks Expert
Ada Kibet,3790,expert,https://www.kaggle.com/adakibet,0,0,6,14,3 years ago,"Mombasa, Mombasa County, Kenya",1.0,4.0,11.0,130,662.0,3811.0,Datasets Expert
Ravi Sane,3791,expert,https://www.kaggle.com/ravisane1,0,0,6,14,3 years ago,"Guwahati, Assam, India",1.0,5.0,11.0,174,838.0,3885.0,Datasets Expert
Im Chentouf,3792,expert,https://www.kaggle.com/imchentouf,0,0,5,14,3 years ago,"Larache, Tangier-Tétouan-Al Hoceima, Morocco",,1.0,7.0,110,2215.0,3812.0,Notebooks Expert
Grishma Modi,3793,expert,https://www.kaggle.com/grishmamodi,0,0,9,14,3 years ago,"Ahmedabad, Gujarat, India",,,16.0,21,925.0,3813.0,Notebooks Expert
Pinaki MIshra,3794,expert,https://www.kaggle.com/pinakimishrads,0,0,5,14,2 years ago,"Mumbai, Maharashtra, India",1.0,3.0,15.0,123,1196.0,3814.0,Notebooks Expert
Nakendraprasath K,3795,expert,https://www.kaggle.com/nakendraprasathk,0,0,5,14,2 years ago,"Chennai, Tamil Nadu, India",,1.0,5.0,55,1654.0,3815.0,Notebooks Expert
Omar Hany,3796,expert,https://www.kaggle.com/omarhanyy,0,0,6,14,2 years ago,"6th of October City, Giza Governorate, Egypt",,3.0,6.0,124,1081.0,3816.0,Datasets Expert
Gökalp Olukcu,3797,expert,https://www.kaggle.com/gkalpolukcu,0,0,5,14,2 years ago,"İzmir, İzmir, Turkey",,1.0,14.0,18,1372.0,3817.0,Notebooks Expert
Sayooj,3798,expert,https://www.kaggle.com/sayooj98,0,0,6,14,2 years ago,"Kannur, Kerala, India",2.0,1.0,8.0,71,1231.0,3819.0,Notebooks Expert
Saurabh Prakash Giri,3799,expert,https://www.kaggle.com/saurabhprakashgiri,0,0,6,14,2 years ago,"Gwalior, Madhya Pradesh, India",,1.0,6.0,4,881.0,3820.0,Notebooks Expert
Zuyufullah Manna,3800,expert,https://www.kaggle.com/zuyufullahmanna,0,0,6,14,2 years ago,"Murdeshwar, Karnataka, India",,1.0,6.0,34,880.0,3821.0,Notebooks Expert
Seoha,3801,expert,https://www.kaggle.com/kimse0ha,0,0,5,14,2 years ago,"Seoul, Seoul, South Korea",3.0,2.0,5.0,1,1157.0,3822.0,Notebooks Expert
DrAnshika Sharma,3802,expert,https://www.kaggle.com/dranshikasharma,0,0,5,14,2 years ago,"Noida, Uttar Pradesh, India",,2.0,7.0,18,1211.0,3823.0,Notebooks Expert
Tasneem Mohamed Saad,3803,expert,https://www.kaggle.com/tasneemmohamedsaad,0,0,5,14,a year ago,"Cairo, Cairo Governorate, Egypt",4.0,,6.0,6,2242.0,3896.0,Notebooks Expert
Manas Marathe,3804,expert,https://www.kaggle.com/manasmarathe,0,0,5,14,a year ago,"Mumbai, Maharashtra, India",,3.0,5.0,1,2232.0,3824.0,Datasets Expert
Databoxplot,3805,expert,https://www.kaggle.com/databoxplot,0,0,5,14,a year ago,,,,4.0,13,1889.0,3825.0,Notebooks Expert
I_UTKARSH_TRIPATHI,3806,expert,https://www.kaggle.com/iutkarshtripathi,0,0,5,14,a year ago,,,,2.0,13,1807.0,3826.0,Notebooks Expert
Jose Berengueres,3807,expert,https://www.kaggle.com/harriken,1,1,4,13,11 years ago,"Dubai, Dubai, United Arab Emirates",6.0,18.0,24.0,232,345.0,3827.0,Competitions Master
Jannes Klaas,3808,expert,https://www.kaggle.com/jannesklaas,0,1,4,13,9 years ago,"Rotterdam, South Holland, Netherlands",3.0,10.0,51.0,10,2782.0,3828.0,Notebooks Expert
George Fisher,3809,expert,https://www.kaggle.com/grfiv4,0,2,3,13,9 years ago,"Boston, Massachusetts, United States",5.0,,14.0,52,2136.0,3829.0,Competitions Expert
Darragh,3810,expert,https://www.kaggle.com/darraghdog,1,2,7,13,8 years ago,"Dublin, County Dublin, Ireland",43.0,14.0,33.0,278,5.0,3830.0,Competitions Grandmaster
dune_dweller,3811,expert,https://www.kaggle.com/dvasyukova,4,4,4,13,8 years ago,,13.0,,18.0,124,1.0,3831.0,Competitions Master
Evan Miller,3812,expert,https://www.kaggle.com/evanmiller,0,3,3,13,8 years ago,"Wellington, Wellington, New Zealand",11.0,,10.0,20,128.0,3832.0,Notebooks Expert
n01z3,3813,expert,https://www.kaggle.com/drn01z3,2,3,1,13,7 years ago,"Antalya, Antalya, Turkey",54.0,,7.0,119,10.0,3833.0,Competitions Grandmaster
Andy White,3814,expert,https://www.kaggle.com/ajrwhite,0,1,4,13,7 years ago,"London, England, United Kingdom",3.0,1.0,19.0,93,481.0,3834.0,Notebooks Expert
Roberto Spadim,3815,expert,https://www.kaggle.com/rspadim,0,2,6,13,7 years ago,"São Paulo, State of São Paulo, Brazil",10.0,3.0,38.0,491,158.0,3836.0,Notebooks Expert
Donyoe,3816,expert,https://www.kaggle.com/donyoe,1,1,18,13,7 years ago,,10.0,1.0,81.0,61,10.0,3837.0,Notebooks Expert
somnambWl,3817,expert,https://www.kaggle.com/somnambwl,0,2,3,13,6 years ago,"Rosice, South Moravian Region, Czechia",10.0,11.0,20.0,192,555.0,3838.0,Competitions Expert
shishir ranjan,3818,expert,https://www.kaggle.com/ranjoranjan,1,1,4,13,6 years ago,"Bengaluru, Karnataka, India",26.0,,6.0,2,118.0,3839.0,Competitions Expert
Gábor Vecsei,3819,expert,https://www.kaggle.com/gaborvecsei,1,1,3,13,6 years ago,"Budapest, Hungary",7.0,1.0,12.0,96,770.0,3840.0,Notebooks Expert
Bruce,3820,expert,https://www.kaggle.com/moizzz,1,2,2,13,6 years ago,Canada,5.0,,10.0,152,143.0,3841.0,Notebooks Expert
Michael Diskin,3821,expert,https://www.kaggle.com/yhn112,1,0,4,13,6 years ago,"Moscow, Russia",38.0,,6.0,11,1714.0,3842.0,Competitions Expert
YaGana Sheriff-Hussaini,3822,expert,https://www.kaggle.com/sheriytm,0,3,4,13,6 years ago,,64.0,6.0,29.0,"2,258",463.0,3843.0,Competitions Master
Alan Choon,3823,expert,https://www.kaggle.com/alanchn31,0,0,5,13,5 years ago,"Singapore, Singapore",9.0,17.0,13.0,119,1158.0,3845.0,Competitions Expert
ARES,3824,expert,https://www.kaggle.com/ananthu017,0,2,3,13,5 years ago,"Thiruvananthapuram, Kerala, India",7.0,4.0,5.0,45,1088.0,3846.0,Notebooks Expert
Simran Jain,3825,expert,https://www.kaggle.com/simranjain17,0,0,5,13,5 years ago,"Mumbai, Maharashtra, India",,3.0,5.0,82,1237.0,3847.0,Datasets Expert
Max Jeblick,3826,expert,https://www.kaggle.com/maxjeblick,0,2,4,13,5 years ago,"Munich, Bavaria, Germany",30.0,7.0,9.0,86,1067.0,3848.0,Competitions Master
hiromu,3827,expert,https://www.kaggle.com/hiromoon166,0,2,3,13,5 years ago,"Tokyo, Tokyo, Japan",25.0,37.0,6.0,87,610.0,3849.0,Competitions Master
Antonis Maronikolakis,3828,expert,https://www.kaggle.com/antmarakis,1,3,4,13,5 years ago,"Munich, Bavaria, Germany",5.0,,25.0,193,114.0,3851.0,Competitions Expert
Yeonjun In,3829,expert,https://www.kaggle.com/mbnb8317,0,0,5,13,5 years ago,"Daejeon, Daejeon, South Korea",11.0,1.0,6.0,48,770.0,3852.0,Competitions Master
Joshua Reed,3830,expert,https://www.kaggle.com/josh24990,0,3,3,13,5 years ago,"London, England, United Kingdom",3.0,,6.0,122,217.0,3853.0,Notebooks Expert
ArnabP,3831,expert,https://www.kaggle.com/arnabpml,0,0,5,13,4 years ago,"Kolkata, West Bengal, India",,,17.0,35,1329.0,3854.0,Notebooks Expert
Merve Bayram Durna,3832,expert,https://www.kaggle.com/mervebdurna,0,2,3,13,4 years ago,"Kraków, Lesser Poland Voivodeship, Poland",,,5.0,2,536.0,3855.0,Notebooks Expert
Piyush,3833,expert,https://www.kaggle.com/piyush1912,0,1,8,13,4 years ago,"Gurugram, Haryana, India",45.0,1.0,13.0,87,217.0,3856.0,Notebooks Expert
"Paul Nussbaum, PhD",3834,expert,https://www.kaggle.com/pnussbaum,0,3,6,13,4 years ago,"Richmond, Virginia, United States",12.0,,13.0,90,215.0,3857.0,Notebooks Expert
Ravi Singh,3835,expert,https://www.kaggle.com/rsingh99,0,0,5,13,4 years ago,"Delhi, Delhi, India",6.0,2.0,8.0,18,1464.0,3858.0,Notebooks Expert
IRONSIGHT,3836,expert,https://www.kaggle.com/ravi02516,0,0,6,13,4 years ago,"Greater Noida, Uttar Pradesh, India",4.0,8.0,8.0,87,994.0,3859.0,Notebooks Expert
Javed Ahemad,3837,expert,https://www.kaggle.com/jvdahemad,0,0,6,13,4 years ago,"Toronto, Ontario, Canada",1.0,2.0,6.0,38,712.0,3928.0,Notebooks Expert
Muhammad Tahir A.,3838,expert,https://www.kaggle.com/tahirmuslimscientist,0,1,7,13,4 years ago,"Punjab, Pakistan",8.0,1.0,8.0,91,476.0,3860.0,Notebooks Expert
Pravin,3839,expert,https://www.kaggle.com/pravinborate,0,1,4,13,4 years ago,"Pune, Maharashtra, India",2.0,,14.0,164,541.0,3861.0,Notebooks Expert
Shehryar Humayun,3840,expert,https://www.kaggle.com/shumayun,0,0,5,13,4 years ago,"Islamabad, Islamabad Capital Territory, Pakistan",,,5.0,40,1677.0,3862.0,Notebooks Expert
Payonear,3841,expert,https://www.kaggle.com/karthur10,0,0,5,13,4 years ago,"Warsaw, Masovian Voivodeship, Poland",4.0,1.0,5.0,19,2347.0,3863.0,Notebooks Expert
ashok,3842,expert,https://www.kaggle.com/ashoksrinivas,0,0,7,13,4 years ago,"Hyderabad, Telangana, India",7.0,7.0,8.0,55,719.0,3864.0,Notebooks Expert
reda abdou,3843,expert,https://www.kaggle.com/redaabdou,0,2,4,13,4 years ago,"Rabat, Rabat-Salé-Kénitra, Morocco",1.0,,6.0,110,329.0,3933.0,Notebooks Expert
"R. Joseph Manoj, PhD",3844,expert,https://www.kaggle.com/rjmanoj,0,0,6,13,4 years ago,"Chennai, Tamil Nadu, India",,5.0,11.0,214,913.0,3866.0,Datasets Expert
yash chaudhary,3845,expert,https://www.kaggle.com/yash612,0,0,5,13,4 years ago,"Delhi, Delhi, India",7.0,3.0,5.0,137,630.0,3867.0,Competitions Expert
Rodrigo Lima,3846,expert,https://www.kaggle.com/rodrigolima82,0,1,6,13,4 years ago,"Blumenau, State of Santa Catarina, Brazil",16.0,,14.0,38,423.0,3868.0,Notebooks Expert
MOHAMMED RUSHAN,3847,expert,https://www.kaggle.com/mrushan3,0,0,5,13,3 years ago,"Toronto, Ontario, Canada",2.0,9.0,24.0,20,415.0,3870.0,Notebooks Expert
Abhishek Singh,3848,expert,https://www.kaggle.com/ganu1899,0,0,6,13,3 years ago,"Delhi, Delhi, India",,,7.0,66,932.0,3871.0,Notebooks Expert
Manas Acharya,3849,expert,https://www.kaggle.com/hod101s,0,0,7,13,3 years ago,"Mumbai, Maharashtra, India",1.0,4.0,13.0,13,708.0,3939.0,Notebooks Expert
Vishak Nair,3850,expert,https://www.kaggle.com/vishynair,0,0,6,13,3 years ago,"Pune, Maharashtra, India",,2.0,10.0,189,1037.0,3872.0,Notebooks Expert
Greeshma,3851,expert,https://www.kaggle.com/greeshmagirish,0,0,8,13,3 years ago,"Bengaluru, Karnataka, India",,6.0,21.0,20,412.0,3873.0,Notebooks Expert
Bruno Archetti,3852,expert,https://www.kaggle.com/brunoarchetti,0,0,7,13,3 years ago,"Rio de Janeiro, State of Rio de Janeiro, Brazil",1.0,3.0,9.0,29,664.0,3874.0,Notebooks Expert
zefirchik,3853,expert,https://www.kaggle.com/zefirchik,0,0,6,13,3 years ago,"Volokolamsk, Moscow Oblast, Russia",8.0,51.0,13.0,32,904.0,3875.0,Notebooks Expert
Paramatma Pulivarthi,3854,expert,https://www.kaggle.com/mrparamatma,0,0,5,13,3 years ago,"Bengaluru, Karnataka, India",2.0,7.0,5.0,67,1656.0,3876.0,Notebooks Expert
Sagnik,3855,expert,https://www.kaggle.com/sagnikpatra,0,0,5,13,3 years ago,"Gurugram, Haryana, India",,3.0,10.0,135,673.0,3877.0,Datasets Expert
deeplearner,3856,expert,https://www.kaggle.com/adarshpathak,0,0,7,13,3 years ago,"Noida, Uttar Pradesh, India",5.0,3.0,14.0,22,600.0,3878.0,Notebooks Expert
ibrahimyildiz,3857,expert,https://www.kaggle.com/ibrahimyildiz,0,0,5,13,3 years ago,"İstanbul, Istanbul, Turkey",6.0,2.0,12.0,6,813.0,3879.0,Notebooks Expert
Aarya AB,3858,expert,https://www.kaggle.com/aaryaab,0,0,5,13,3 years ago,"College Station, Texas, United States",,,4.0,75,991.0,3880.0,Notebooks Expert
Mansi Meena,3859,expert,https://www.kaggle.com/mansimeena,0,0,5,13,3 years ago,"Gwalior, Madhya Pradesh, India",,1.0,8.0,11,1206.0,3950.0,Notebooks Expert
Himanshu Madan,3860,expert,https://www.kaggle.com/tug004,0,0,6,13,3 years ago,"Leeds, England, United Kingdom",,7.0,9.0,63,968.0,3952.0,Notebooks Expert
Vaibhav Birla,3861,expert,https://www.kaggle.com/immvab,0,0,6,13,3 years ago,"Kolkata, West Bengal, India",1.0,1.0,6.0,40,1076.0,3881.0,Notebooks Expert
Fırat Polat,3862,expert,https://www.kaggle.com/fehmifratpolat,0,0,5,13,3 years ago,"Tallinn, Harju County, Estonia",,2.0,7.0,25,923.0,3882.0,Notebooks Expert
Abhishek Dhule,3863,expert,https://www.kaggle.com/abhishekdhule,0,0,6,13,3 years ago,"Mumbai, Maharashtra, India",1.0,1.0,8.0,110,646.0,3883.0,Notebooks Expert
Pranshu15,3864,expert,https://www.kaggle.com/pranshu15,0,0,5,13,3 years ago,"Bengaluru, Karnataka, India",2.0,,6.0,36,2255.0,3884.0,Notebooks Expert
Amit Karmakar,3865,expert,https://www.kaggle.com/amitkarmakar41,0,0,6,13,3 years ago,"Hamamatsu, Shizuoka, Japan",,1.0,11.0,77,1416.0,3886.0,Notebooks Expert
Rashidul Hasan Hridoy,3866,expert,https://www.kaggle.com/rashidulhasanhridoy,0,0,6,13,3 years ago,"Mymensingh, Dhaka Division, Bangladesh",,1.0,6.0,191,706.0,3887.0,Notebooks Expert
Zachary Wyman,3867,expert,https://www.kaggle.com/zacharywyman,0,0,5,13,2 years ago,"Portland, Oregon, United States",1.0,2.0,5.0,45,809.0,3888.0,Notebooks Expert
Saurabh Gupta,3868,expert,https://www.kaggle.com/saurabhgupta09,0,0,5,13,2 years ago,"Bengaluru, Karnataka, India",,,7.0,10,1408.0,3889.0,Notebooks Expert
Timothy Alex John,3869,expert,https://www.kaggle.com/timothyalexjohn,0,0,5,13,2 years ago,"Ernakulam, Kerala, India",4.0,2.0,12.0,48,1063.0,3890.0,Notebooks Expert
CHANDAN,3870,expert,https://www.kaggle.com/chandansinghnegi,0,2,3,13,2 years ago,"Almora, Uttarakhand, India",,,6.0,220,465.0,3891.0,Notebooks Expert
Muhammad Shahzad,3871,expert,https://www.kaggle.com/muhammadshahzadkhan,0,0,5,13,2 years ago,"Zhenjiang, Jiangsu, China",,1.0,7.0,24,1264.0,3892.0,Notebooks Expert
Akash Sikarwar,3872,expert,https://www.kaggle.com/akashsikarwar,0,0,6,13,2 years ago,"Bengaluru, Karnataka, India",,,6.0,3,1404.0,3965.0,Notebooks Expert
